"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,106,"IDN","Indonesia",1,"Aceh",1,"Aceh Barat Daya","Kabupaten","Regency",NA,"South West Aceh"
2,106,"IDN","Indonesia",1,"Aceh",2,"Aceh Barat","Kabupaten","Regency",NA,"West Aceh"
3,106,"IDN","Indonesia",1,"Aceh",3,"Aceh Besar","Kabupaten","Regency",NA,NA
4,106,"IDN","Indonesia",1,"Aceh",4,"Aceh Jaya","Kabupaten","Regency",NA,NA
5,106,"IDN","Indonesia",1,"Aceh",5,"Aceh Selatan","Kabupaten","Regency",NA,"South Aceh"
6,106,"IDN","Indonesia",1,"Aceh",6,"Aceh Singkil","Kabupaten","Regency",NA,NA
7,106,"IDN","Indonesia",1,"Aceh",7,"Aceh Tamiang","Kabupaten","Regency",NA,NA
8,106,"IDN","Indonesia",1,"Aceh",8,"Aceh Tengah","Kabupaten","Regency",NA,"Central Aceh"
9,106,"IDN","Indonesia",1,"Aceh",9,"Aceh Tenggara","Kabupaten","Regency",NA,"Southeast Aceh"
10,106,"IDN","Indonesia",1,"Aceh",10,"Aceh Timur","Kabupaten","Regency",NA,"East Aceh"
11,106,"IDN","Indonesia",1,"Aceh",11,"Aceh Utara","Kabupaten","Regency",NA,"North Aceh"
12,106,"IDN","Indonesia",1,"Aceh",12,"Banda Aceh","Kotamadya","Municipality",NA,"Kota Banda Aceh"
13,106,"IDN","Indonesia",1,"Aceh",13,"Bener Meriah","Kabupaten","Regency",NA,NA
14,106,"IDN","Indonesia",1,"Aceh",14,"Bireuen","Kabupaten","Regency",NA,"Bireun"
15,106,"IDN","Indonesia",1,"Aceh",15,"Gayo Lues","Kabupaten","Regency",NA,NA
16,106,"IDN","Indonesia",1,"Aceh",16,"Langsa","Kotamadya","Municipality",NA,"Kota Langsa"
17,106,"IDN","Indonesia",1,"Aceh",17,"Lhokseumawe","Kotamadya","Municipality",NA,"Kota Lhokseumawe"
18,106,"IDN","Indonesia",1,"Aceh",18,"Nagan Raya","Kabupaten","Regency",NA,NA
